extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
716	JER 437/MA/L	MAROON SPOTSHIELD POLO		MAROON SPOTSHIELD POLO			447231		911a2a90-25b0-cf93-e814-4ea598fda24a
717	JER 437/MA/XL	MAROON DRI-POWER POLO		MAROON DRI-POWER POLO			1058997		911a2a90-25b0-cf93-e814-4ea570cebd4a
718	JER 437/NV/2X	NAVY GOLF SHIRT		NAVY GOLF SHIRT			483668		911a2a90-25b0-cf93-e814-4ea5b826d74a
719	JER 437/NV/2XL	J NAVY SPOTSHIELD POLO		J NAVY SPOTSHIELD POLO			634809		911a2a90-25b0-cf93-e814-4ea5b8c2ef4a
720	JER 437/NV/3X	J NAVY SPOTSHIELD POLO		J NAVY SPOTSHIELD POLO			635041		911a2a90-25b0-cf93-e814-4ea5f0c1084b
721	JER 437/NV/L	J NAVY SPOTSHIELD POLO		J NAVY SPOTSHIELD POLO			634808		911a2a90-25b0-cf93-e814-4ea5b083224b
722	JER 437/NV/XL	J NAVY SPOTSHIELD POLO		J NAVY SPOTSHIELD POLO			220847		911a2a90-25b0-cf93-e814-4ea558df3c4b
723	JER 437/OX/2X	OXFORD POLO		OXFORD POLO			375474		911a2a90-25b0-cf93-e814-4ea518b4574b
724	JER 437/OX/L	OXFORD SPOTSHIELD POLO		OXFORD SPOTSHIELD POLO			711239		911a2a90-25b0-cf93-e814-4ea55062714b
725	JER 437/OX/M	OXFORD POLO		OXFORD POLO			375472		911a2a90-25b0-cf93-e814-4ea578028b4b
726	JER 437/OX/XL	OXFORD SPOTSHIELD POLO		OXFORD SPOTSHIELD POLO			375473		911a2a90-25b0-cf93-e814-4ea548e4a14b
727	JER 437/RB/M	ROYAL S/S POLO		ROYAL S/S POLO			1032334		911a2a90-25b0-cf93-e814-4ea50823bc4b
728	JER 437/RD/3X	TRUE RED POLO		TRUE RED POLO			85237		911a2a90-25b0-cf93-e814-4ea5f8dcd54b
