extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
940	HNS S04V/DR/M	DEEP ROYAL WOMENS NANO V -NECK		DEEP ROYAL WOMENS NANO V	-NECK		923093		911a2a90-25b0-cf93-e814-4ca508a3b335
941	HNS S04V/DR/S	DEEP ROYAL WOMENS NANO V -NECK		DEEP ROYAL WOMENS NANO V	-NECK		923091		911a2a90-25b0-cf93-e814-4ca5e092cd35
942	HNS S04V/LS/S	LIGHT STEEL WOMENS NANO V-NECK		LIGHT STEEL WOMENS NANO	V-NECK		483676		911a2a90-25b0-cf93-e814-4ca5b89be735
943	HNS S04V/MA/M	MAROON WOMENS NANO V-NEC K		MAROON WOMENS NANO V-NEC	K		483677		911a2a90-25b0-cf93-e814-4ca5f8e60136
944	HNS S04V/NV/L	NAVY WOMENS NANO V-NECK		NAVY WOMENS NANO V-NECK			483679		911a2a90-25b0-cf93-e814-4ca5201d1c36
945	HNS S04V/NV/M	NAVY WOMENS NANO V-NECK		NAVY WOMENS NANO V-NECK			604808		911a2a90-25b0-cf93-e814-4ca5b82c3836
946	HNS S04V/NV/S	NAVY WOMENS NANO V-NECK		NAVY WOMENS NANO V-NECK			604804		911a2a90-25b0-cf93-e814-4ca5f8e75036
947	HNS S04V/PU/M	PURPLE WOMENS NANO V-NEC K		PURPLE WOMENS NANO V-NEC	K		907833		911a2a90-25b0-cf93-e814-4ca540e96b36
948	HNS S04V/TL/2XL	TEAL WOMENS NANO V-NECK		TEAL WOMENS NANO V-NECK			911194		911a2a90-25b0-cf93-e814-4ca5104f8636
949	HNS S04V/WH/2X	WHITE WOMENS NANO V-NECK		WHITE WOMENS NANO V-NECK			923083		911a2a90-25b0-cf93-e814-4ca57002a536
950	HNS SL04/BK/M	BLACK LADIES TEE		BLACK LADIES TEE			643589		911a2a90-25b0-cf93-e814-4ca558afbf36
951	HNS SL04/CH/L	CHARCOAL HTR LADIES TEE		CHARCOAL HTR LADIES TEE			643535		911a2a90-25b0-cf93-e814-4ca5b0beda36
952	HNS SL04/CH/M	CHARCOAL HTR LADIES TEE		CHARCOAL HTR LADIES TEE			643534		911a2a90-25b0-cf93-e814-4ca5f894f836
953	HNS SL04/DF/M	DEEP FOREST LADIES TEE		DEEP FOREST LADIES TEE			227540		911a2a90-25b0-cf93-e814-4ca5083b1a37
954	HNS SL04/DR/L	DEEP RED LADIES TEE		DEEP RED LADIES TEE			244209		911a2a90-25b0-cf93-e814-4ca570f53837
955	HNS SL04/DR/S	DEEP ROYAL LADIES TEE		DEEP ROYAL LADIES TEE			518014		911a2a90-25b0-cf93-e814-4ca590505437
956	HNS SL04/DRO/L	DEEP ROYAL LADIES TEE		DEEP ROYAL LADIES TEE			643536		911a2a90-25b0-cf93-e814-4ca588496d37
957	HNS SL04/NV/L	NAVY LADIES TEE		NAVY LADIES TEE			997685		911a2a90-25b0-cf93-e814-4ca510ce8837
958	HNS SL04/NV/M	NAVY LADIES TEE		NAVY LADIES TEE			227541		911a2a90-25b0-cf93-e814-4ca5f073a337
959	HNS W110/BK/L	BLACK WORKWEAR POCKET TE E		BLACK WORKWEAR POCKET TE	E		251596		911a2a90-25b0-cf93-e814-4ca5c0d3be37
960	HNS W110/LS/2X	LT STEEL WORKWEAR POCKET TEE		LT STEEL WORKWEAR POCKET	TEE		483699		911a2a90-25b0-cf93-e814-4ca518f7de37
961	HNS W110/LS/3X	LT STEEL WORKWEAR POCKET TEE		LT STEEL WORKWEAR POCKET	TEE		483700		911a2a90-25b0-cf93-e814-4ca570fafb37
962	HNS W110/SFOR/2X	SAFETY ORANGE POCKET S/S TEE		SAFETY ORANGE POCKET S/S	TEE		888141		911a2a90-25b0-cf93-e814-4ca5f8d01a38
963	HNS W110/SFOR/XL	SAFETY ORANGE S/S POCKET TEE		SAFETY ORANGE S/S POCKET	TEE		888146		911a2a90-25b0-cf93-e814-4ca5f82a3e38
964	HNS W110/SFPK/2X	SAFETY PINK WORKWEAR POC KET T		SAFETY PINK WORKWEAR POC	KET T		630025		911a2a90-25b0-cf93-e814-4ca558886238
965	HNS W110/SFPK/L	SAFETY PINK WORKWEAR POC KET TEE		SAFETY PINK WORKWEAR POC	KET TEE		646715		911a2a90-25b0-cf93-e814-4ca520398038
966	HNS W110/SFPK/M	SAFETY PINK WORKWEAR POC KET TEE		SAFETY PINK WORKWEAR POC	KET TEE		646713		911a2a90-25b0-cf93-e814-4ca548e79f38
967	HNS W110/SFPK/S	SAFETY PINK WORKWEAR POC KET TEE		SAFETY PINK WORKWEAR POC	KET TEE		646710		911a2a90-25b0-cf93-e814-4ca54008c338
968	HNS W110/SFPK/XL	SAFETY PINK WORKWEAR POC KET T		SAFETY PINK WORKWEAR POC	KET T		646716		911a2a90-25b0-cf93-e814-4ca580ace338
969	HNS W120/BK/2X	BLACK L/S POCKET TEE		BLACK L/S POCKET TEE			290435		911a2a90-25b0-cf93-e814-4ca54068fe38
970	HNS W120/BK/L	BLACK L/S POCKET TEE		BLACK L/S POCKET TEE			251594		911a2a90-25b0-cf93-e814-4ca5b8161939
971	HNS W120/BK/M	BLACK L/S POCKET TEE		BLACK L/S POCKET TEE			290434		911a2a90-25b0-cf93-e814-4ca5c08d3039
972	HNS W120/BK/S	BLACK L/S POCKET TEE		BLACK L/S POCKET TEE			290431		911a2a90-25b0-cf93-e814-4ca558394c39
973	HNS W120/BK/XL	BLACK L/S POCKET TEE		BLACK L/S POCKET TEE			290436		911a2a90-25b0-cf93-e814-4ca5d0836639
974	HNS W120/SFGR/2X	SAFETY GREEN L/S POCKET TEE		SAFETY GREEN L/S POCKET	TEE		411889		911a2a90-25b0-cf93-e814-4ca568f18339
975	HNS W120/SFGR/3X	SAFETY GREEN L/S POCKET TEE		SAFETY GREEN L/S POCKET	TEE		876425		911a2a90-25b0-cf93-e814-4ca518549e39
976	HNS W120/SFGR/4X	SAFETY GREEN L/S POCKET TEE		SAFETY GREEN L/S POCKET	TEE		876429		911a2a90-25b0-cf93-e814-4ca590b1b939
977	HNS W120/SFGR/L	SAFETY GREEN L/S POCKET TEE		SAFETY GREEN L/S POCKET	TEE		411883		911a2a90-25b0-cf93-e814-4ca5109fd339
978	HNS W120/SFGR/XL	SAFETY GREEN L/S POCKET TEE		SAFETY GREEN L/S POCKET	TEE		411884		911a2a90-25b0-cf93-e814-4ca56818ee39
979	HNS W120/SFOR/2X	SAFETY ORANGE L/S POCKET TEE		SAFETY ORANGE L/S POCKET	TEE		411880		911a2a90-25b0-cf93-e814-4ca518cc073a
980	HNS W120/SFOR/3X	SAFETY ORANGE L/S POCKET TEE		SAFETY ORANGE L/S POCKET	TEE		876313		911a2a90-25b0-cf93-e814-4ca57038203a
981	HNS W120/SFOR/4X	SAFETY ORANGE L/S POCKET TEE		SAFETY ORANGE L/S POCKET	TEE		876378		911a2a90-25b0-cf93-e814-4ca5c06d403a
982	HNS W120/SFOR/L	SAFETY ORANGE L/S POCKET TEE		SAFETY ORANGE L/S POCKET	TEE		298390		911a2a90-25b0-cf93-e814-4ca5d0b5603a
983	HNS W120/SFOR/XL	SAFETY ORANGE L/S POCKET TEE		SAFETY ORANGE L/S POCKET	TEE		298392		911a2a90-25b0-cf93-e814-4ca5b8e07f3a
