extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
3066	GIL 500B/TB/L	TROPICAL BLUE YOUTH TEE		TROPICAL BLUE YOUTH TEE			42003		911a2a90-25b0-cf93-e814-4aa5985ac33f
3067	GIL 500B/TB/M	TROPICAL BLUE YOUTH TEE		TROPICAL BLUE YOUTH TEE			42002		911a2a90-25b0-cf93-e814-4aa5387ddd3f
3068	GIL 500B/TB/S	TROPICAL BLUE YOUTH TEE		TROPICAL BLUE YOUTH TEE			42001		911a2a90-25b0-cf93-e814-4aa51016f93f
3069	GIL 500B/TB/XL	TROPICAL BLUE YOUTH TEE		TROPICAL BLUE YOUTH TEE			42005		911a2a90-25b0-cf93-e814-4aa5207c1440
3070	GIL 500B/TDBK/L	.		.			174131		911a2a90-25b0-cf93-e814-4aa5f0bc3040
3071	GIL 500B/TN/L	TENNESSEE ORANGE TEE		TENNESSEE ORANGE TEE			240282		911a2a90-25b0-cf93-e814-4aa5c8684d40
3072	GIL 500B/TN/S	TENNESSEE ORANGE TEE		TENNESSEE ORANGE TEE			240280		911a2a90-25b0-cf93-e814-4aa5c8c66740
3073	GIL 500B/TN/XS	TENNESSEE ORANGE TEE		TENNESSEE ORANGE TEE			240279		911a2a90-25b0-cf93-e814-4aa560338140
3074	GIL 500B/VI/L	VIOLET YOUTH TEE		VIOLET YOUTH TEE			774936		911a2a90-25b0-cf93-e814-4aa5687f9b40
3075	GIL 500B/VI/M	VIOLET YOUTH TEE		VIOLET YOUTH TEE			774938		911a2a90-25b0-cf93-e814-4aa5b01cb640
3076	GIL 500B/VI/S	VIOLET YOUTH TEE		VIOLET YOUTH TEE			774937		911a2a90-25b0-cf93-e814-4aa5c018d240
3077	GIL 500B/WH/L	WHITE YOUTH TEE		WHITE YOUTH TEE			173762		911a2a90-25b0-cf93-e814-4aa5f0f1eb40
3078	GIL 500B/WH/M	WHITE YOUTH TEE		WHITE YOUTH TEE			173760		911a2a90-25b0-cf93-e814-4aa538630541
3079	GIL 500B/WH/S	WHITE YOUTH TEE		WHITE YOUTH TEE			173763		911a2a90-25b0-cf93-e814-4aa5907e1e41
3080	GIL 500B/WH/XL	WHITE YOUTH TEE		WHITE YOUTH TEE			906023		911a2a90-25b0-cf93-e814-4aa5d8bd3741
3081	GIL 500B/WH/XS	WHITE YOUTH TEE		WHITE YOUTH TEE			906021		911a2a90-25b0-cf93-e814-4aa540ce5041
3082	GIL 500L/AZ/2X	AZALEA LADIES TEE		AZALEA LADIES TEE			878132		911a2a90-25b0-cf93-e814-4aa570116a41
3083	GIL 500L/AZ/3X	AZALEA TEE		AZALEA TEE			888812		911a2a90-25b0-cf93-e814-4aa510728241
3084	GIL 500L/BB/2X	BLACKBERRY LADIES TEE		BLACKBERRY LADIES TEE			505974		911a2a90-25b0-cf93-e814-4aa518ab9b41
3085	GIL 500L/BB/XL	BLACKBERRY LADIES TEE		BLACKBERRY LADIES TEE			357416		911a2a90-25b0-cf93-e814-4aa58871b541
3086	GIL 500L/BK/L	BLACK LADIES TEE		BLACK LADIES TEE			404096		911a2a90-25b0-cf93-e814-4aa520c5ce41
3087	GIL 500L/BK/M	BLACK LADIES TEE		BLACK LADIES TEE			469047		911a2a90-25b0-cf93-e814-4aa5208de841
3088	GIL 500L/BK/S	BLACK LADIES TEE		BLACK LADIES TEE			404095		911a2a90-25b0-cf93-e814-4aa550020242
3089	GIL 500L/BK/XL	BLACK LADIES TEE		BLACK LADIES TEE			911161		911a2a90-25b0-cf93-e814-4aa5b8951a42
3090	GIL 500L/CB/2X	CAROLINA BLUE LADIES TEE		CAROLINA BLUE LADIES TEE			878135		911a2a90-25b0-cf93-e814-4aa568233242
3091	GIL 500L/CO/2X	CORAL SILK LADIES TEE		CORAL SILK LADIES TEE			878136		911a2a90-25b0-cf93-e814-4aa5d8274a42
3092	GIL 500L/CO/XL	CORAL SILK LADIES TEE		CORAL SILK LADIES TEE			357413		911a2a90-25b0-cf93-e814-4aa510ef6342
3093	GIL 500L/CS/2X	CORNSILK LADIES TEE		CORNSILK LADIES TEE			878130		911a2a90-25b0-cf93-e814-4aa5103a7d42
3094	GIL 500L/CS/XL	CORNSILK LADIES TEE		CORNSILK LADIES TEE			357415		911a2a90-25b0-cf93-e814-4aa5e87a9642
