extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
251,APP GRLB150,1 12 GR UNILET,,1 12 GR UNILET,,grlb150 1 12 gr unilet 934252 2 elbow,934252,,b95d65c6-81a4-73a6-d314-d8e7a05384f3,934252,grlb150 1 12 gr unilet 2 elbow,no,
252,APP GRLB200,2      UNILET ONDULET,,2      UNILET,ONDULET,grlb200 2 unilet ondulet 293317 explosion proof prf type lb,293317,,b95d65c6-81a4-73a6-d314-d8e7f05dc0f3,293317,grlb200 2 unilet ondulet explosion proof prf type lb,no,
253,APP GRLB50,12 GR UNILET CONDULET,,12 GR UNILET,CONDULET,grlb50 12 gr unilet condulet 310014 1 2 explosion proof prf type lb,310014,,b95d65c6-81a4-73a6-d314-d8e7f85312f4,310014,grlb50 12 gr unilet condulet 1 2 explosion proof prf type lb,no,
254,APP GRLB75,34 UNILET GR CONDULET,,34 UNILET GR,CONDULET,grlb75 34 unilet gr condulet 66692 3 4 explosion proof prf type lb,66692,,b95d65c6-81a4-73a6-d314-d8e7e0a550f4,66692,grlb75 34 unilet gr condulet 3 4 explosion proof prf type lb,no,
255,APP GRSS75,34 GRSS ALUMINUM UNILET BOX W/COVER,,34 GRSS ALUMINUM UNILET,BOX W/COVER,grss75 34 grss aluminum unilet box w cover 604695 3 4 explosion proof prf ou,604695,,b95d65c6-81a4-73a6-d314-d8e7a0e190f4,604695,grss75 34 grss aluminum unilet box w cover 3 4 explosion proof prf ou,no,
256,APP GRT100,1  G R UNI INSIDE THREADS T,,1  G R UNI INSIDE,THREADS T,grt100 1 g r uni inside threads t 60122 explosion proof prf type ma,60122,,b95d65c6-81a4-73a6-d314-d8e7a041ccf4,60122,grt100 1 g r uni inside threads t explosion proof prf type ma,no,
257,APP GRT125,GR BOX CAST MALL 1-14 IN HUB,,GR BOX CAST MALL 1-14,IN HUB,"grt125 gr box cast mall 1 14 """" or inch hub 905870 4 explosion proof prf type",905870,,b95d65c6-81a4-73a6-d314-d8e7f0390bf5,905870,"grt125 gr box cast mall 1 14 """" or inch hub 4 explosion proof prf type",no,
258,APP GRT150,1-12 UNI INSIDE THREADSUR,,1-12 UNI INSIDE,THREADSUR,grt150 1 12 uni inside threadsur 341549 2 explosion proof prf type thread sur,341549,,b95d65c6-81a4-73a6-d314-d8e7004f40f5,341549,grt150 1 12 uni inside threadsur 2 explosion proof prf type thread sur,no,
259,APP GRT200,2 UNILET NDULET,,2 UNILET,NDULET,grt200 2 unilet ndulet 341552 explosion proof prf type t ma,341552,,b95d65c6-81a4-73a6-d314-d8e7f8c576f5,341552,grt200 2 unilet ndulet explosion proof prf type t ma,no,
260,APP GRT50,12 GR UNILET CONDULET,,12 GR UNILET,CONDULET,grt50 12 gr unilet condulet 18112 1 2 explosion proof prf type t m style mogul,18112,,b95d65c6-81a4-73a6-d314-d8e72034c2f5,18112,grt50 12 gr unilet condulet 1 2 explosion proof prf type t m style mogul,no,
261,APP GRT75,34 GR UNLINSIDE THREADT CONDULET,,34 GR UNLINSIDE THREADT,CONDULET,grt75 34 gr unlinside threadt condulet 18113 3 4 explosion proof prf type t m style mogul unl inside thread,18113,,b95d65c6-81a4-73a6-d314-d8e7e080fbf5,18113,grt75 34 gr unlinside threadt condulet 3 4 explosion proof prf type t m style mogul unl inside thread,no,
262,APP GRU75-A,(5) 3/4 HOLE OUTLET BOX CAST ALUM,,(5) 3/4 HOLE OUTLET BOX,CAST ALUM,"gru75 a 5 3 4 hole outlet box cast aluminum 474212 4"" outl gr """" or inch hub",474212,,b95d65c6-81a4-73a6-d314-d8e7f04535f6,474212,"gru75 a 5 3 4 hole outlet box cast aluminum 4"" outl gr """" or inch hub",no,
263,APP GRX100,1 GR UNLI WITH SURFACE COVR,,1 GR UNLI WITH SURFACE,COVR,grx100 1 gr unli with surface covr 66688 explosion proof prf type x ma,66688,,b95d65c6-81a4-73a6-d314-d8e760af6af6,66688,grx100 1 gr unli with surface covr explosion proof prf type x ma,no,
264,APP GRX125,1 14 UNILET WITH SURFACE COVE,,1 14 UNILET WITH,SURFACE COVE,grx125 1 14 unilet with surface cove 905866 4 explosion proof prf type,905866,,b95d65c6-81a4-73a6-d314-d8e7d031a0f6,905866,grx125 1 14 unilet with surface cove 4 explosion proof prf type,no,
265,APP GRX150,1 12 UNILET WITH SURFACE COVE,,1 12 UNILET WITH,SURFACE COVE,grx150 1 12 unilet with surface cove 341555 2 explosion proof prf type,341555,,b95d65c6-81a4-73a6-d314-d8e790b5d4f6,341555,grx150 1 12 unilet with surface cove 2 explosion proof prf type,no,
266,APP GRX200,2 GR UNILET WITH SURFACE COVER,,2 GR UNILET WITH,SURFACE COVER,grx200 2 gr unilet with surface cover 341556 explosion proof prf type x ma,341556,,b95d65c6-81a4-73a6-d314-d8e730ee14f7,341556,grx200 2 gr unilet with surface cover explosion proof prf type x ma,no,
267,APP GRX50,12 GR UNIL WINS THREAD CONDULET,,12 GR UNIL WINS THREAD,CONDULET,grx50 12 gr unil wins thread condulet 341553 1 2 explosion proof prf type x m style mogul w ins,341553,,b95d65c6-81a4-73a6-d314-d8e730dc62f7,341553,grx50 12 gr unil wins thread condulet 1 2 explosion proof prf type x m style mogul w ins,no,
268,APP GRX75,34 GR UNILET WINTERNAL CONDULET,,34 GR UNILET WINTERNAL,CONDULET,grx75 34 gr unilet winternal condulet 18114 3 4 explosion proof prf type x m style mogul w internal,18114,,b95d65c6-81a4-73a6-d314-d8e738c9a9f7,18114,grx75 34 gr unilet winternal condulet 3 4 explosion proof prf type x m style mogul w internal,no,
269,APP JBK-50,1/2 KO PLATE,,1/2 KO PLATE,,jbk 50 1 2 ko plate 938347 malleable cover w hub,938347,,b95d65c6-81a4-73a6-d314-d8e76844dbf7,938347,jbk 50 1 2 ko plate malleable cover w hub,no,
270,APP K0100,1 KNOCKOUT SEAL,,1 KNOCKOUT SEAL,,k0100 1 knockout seal 577317,577317,,b95d65c6-81a4-73a6-d314-d9e7a8c1c036,577317,k0100 1 knockout seal,no,
271,APP K100,1 COVER FOR FORM 35 UNILET,,1 COVER FOR FORM 35,UNILET,k100 1 cover for form 35 unilet 18126 stamp steel f,18126,,b95d65c6-81a4-73a6-d314-d8e7401b0ef8,18126,k100 1 cover for form 35 unilet stamp steel f,no,
272,APP K100-CM,1 CAST MALL COVER FRM35,,1 CAST MALL COVER FRM35,,"k100 cm 1 cast mall cover frm35 38174 """" or inch blnk mal covr form 35",38174,,b95d65c6-81a4-73a6-d314-d8e7a07f4ef8,38174,"k100 cm 1 cast mall cover frm35 """" or inch blnk mal covr form 35",no,
273,APP K125&150,1-1/4&1-1/2 STAMP STEEL COVER FR35,,1-1/4&1-1/2 STAMP STEEL,COVER FR35,k125&150 1 4&1 2 stamp steel cover fr35 18134 for form 35,18134,,b95d65c6-81a4-73a6-d314-d8e730a48ff8,18134,k125&150 1 4&1 2 stamp steel cover fr35 for form 35,no,
274,APP K125&150-CM,1-1/4&1-1/2 CAST MALL CV R FRM35,,1-1/4&1-1/2 CAST MALL CV,R FRM35,k125&150 cm 1 4&1 2 cast mall cv r frm35 38175 ca 4 and covr fr form35,38175,,b95d65c6-81a4-73a6-d314-d8e79097cdf8,38175,k125&150 cm 1 4&1 2 cast mall cv r frm35 ca 4 and covr fr form35,no,
275,APP K200,2 COVER FOR FORM 35 UNILET,,2 COVER FOR FORM 35,UNILET,k200 2 cover for form 35 unilet 18130 stamp steel f,18130,,b95d65c6-81a4-73a6-d314-d8e7f0b60cf9,18130,k200 2 cover for form 35 unilet stamp steel f,no,
276,APP K200-CM,2 CAST MALL COVER FRM35,,2 CAST MALL COVER FRM35,,k200 cm 2 cast mall cover frm35 38178 blank,38178,,b95d65c6-81a4-73a6-d314-d8e7a86112fa,38178,k200 cm 2 cast mall cover frm35 blank,no,
277,APP K250&300,2-1/2&3 STAMP STEEL COVE R FRM35,,2-1/2&3 STAMP STEEL COVE,R FRM35,k250&300 2 1 2&3 stamp steel cover frm35 18022 ste & 3 for form 35,18022,,b95d65c6-81a4-73a6-d314-d8e750034bfa,18022,k250&300 2 1 2&3 stamp steel cover frm35 ste & 3 for form 35,no,
278,APP K250&300-CM,2-1/2&3 CAST MALL COVER FRM35,,2-1/2&3 CAST MALL COVER,FRM35,k250&300 cm 2 1 2&3 cast mall cover frm35 188543 m style mogul and 3 for form 35,188543,,b95d65c6-81a4-73a6-d314-d8e7d0d881fa,188543,k250&300 cm 2 1 2&3 cast mall cover frm35 m style mogul and 3 for form 35,no,
279,APP K350&400,3-1/2&4 STAMP STEEL COVE R FRM35,,3-1/2&4 STAMP STEEL COVE,R FRM35,k350&400 3 1 2&4 stamp steel cover frm35 18043 ste 2 and 4 for form 35,18043,,b95d65c6-81a4-73a6-d314-d8e7389fb7fa,18043,k350&400 3 1 2&4 stamp steel cover frm35 ste 2 and 4 for form 35,no,
280,APP K350&400-CM,3-1/2 & 4 MALL COVER FRM 35,,3-1/2 & 4 MALL COVER FRM,35,"k350&400 cm 3 1 2 & 4 mall cover frm 35 676642 2"" 4"" ma and for form",676642,,b95d65c6-81a4-73a6-d314-d8e7182cebfa,676642,"k350&400 cm 3 1 2 & 4 mall cover frm 35 2"" 4"" ma and for form",no,
281,APP K50,12 COVER FOR FORM 35 UNILET,,12 COVER FOR FORM 35,UNILET,k50 12 cover for form 35 unilet 18122 1 2 stamp steel,18122,,b95d65c6-81a4-73a6-d314-d8e7a0c424fb,18122,k50 12 cover for form 35 unilet 1 2 stamp steel,no,
