extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
146,ALT 5308-920,NPT3/8 CORD GRIP 2.5-8mm CABLE BLK,,NPT3/8 CORD GRIP 2.5-8mm,CABLE BLK,5308 920 npt3 8 cord grip 2.5 8mm cable blk 61000,61000,,b95d65c6-81a4-73a6-d314-d7e720d344fd,61000,5308 920 npt3 8 cord grip 2.5 8mm cable blk,no,
147,ALT 5308-921,NPT1/2 CORD GRIP 5-12mm CABLE BLK,,NPT1/2 CORD GRIP 5-12mm,CABLE BLK,5308 921 npt1 2 cord grip 5 12mm cable blk 61003,61003,,b95d65c6-81a4-73a6-d314-d7e7604a79fd,61003,5308 921 npt1 2 cord grip 5 12mm cable blk,no,
148,ALT 5308-922,NPT3/4 CORD GRIP 9-18mm CABLE BLK,,NPT3/4 CORD GRIP 9-18mm,CABLE BLK,5308 922 npt3 4 cord grip 9 18mm cable blk 61001,61001,,b95d65c6-81a4-73a6-d314-d7e7c02eadfd,61001,5308 922 npt3 4 cord grip 9 18mm cable blk,no,
149,ALT 56/0A01.1222C,12V SAFETY RELAY 2NO/2NC,,12V SAFETY RELAY 2NO/2NC,,56 0a01.1222c 12v safety relay 2no 2nc r 61046,61046,,b95d65c6-81a4-73a6-d314-d7e7501ee2fd,61046,56 0a01.1222c 12v safety relay 2no 2nc r,no,
150,ALT 7211-851,PG7 LOCKNUT BLACK,,PG7 LOCKNUT BLACK,,7211 851 pg7 locknut black 61004,61004,,b95d65c6-81a4-73a6-d314-d7e7b81514fe,61004,7211 851 pg7 locknut black,no,
151,ALT 7211-852,PG9 LOCKNUT BLACK,,PG9 LOCKNUT BLACK,,7211 852 pg9 locknut black 61005,61005,,b95d65c6-81a4-73a6-d314-d7e700c355fe,61005,7211 852 pg9 locknut black,no,
152,ALT 7211-853,PG11 LOCKNUT BLACK,,PG11 LOCKNUT BLACK,,7211 853 pg11 locknut black blac 61006,61006,,b95d65c6-81a4-73a6-d314-d7e728bd92fe,61006,7211 853 pg11 locknut black blac,no,
153,ALT 7211-854,PG13.5 LOCKNUT BLACK,,PG13.5 LOCKNUT BLACK,,7211 854 pg13.5 locknut black bl 61007,61007,,b95d65c6-81a4-73a6-d314-d7e7f846c0fe,61007,7211 854 pg13.5 locknut black bl,no,
154,ALT 7211-856,PG21 LOCKNUT BLACK,,PG21 LOCKNUT BLACK,,7211 856 pg21 locknut black blac 61010,61010,,b95d65c6-81a4-73a6-d314-d7e7b0bffdfe,61010,7211 856 pg21 locknut black blac,no,
155,ALT 7211-881,PG7 LOCKNUT LT GRAY,,PG7 LOCKNUT LT GRAY,,7211 881 pg7 locknut lt light gray gr 61011,61011,,b95d65c6-81a4-73a6-d314-d7e7683633ff,61011,7211 881 pg7 locknut lt light gray gr,no,
156,ALT 7211-882,PG9 LOCKNUT LT GRAY,,PG9 LOCKNUT LT GRAY,,7211 882 pg9 locknut lt light gray gr 61012,61012,,b95d65c6-81a4-73a6-d314-d7e780c865ff,61012,7211 882 pg9 locknut lt light gray gr,no,
