extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
37,AMB AM1086L,10x8x6 FIBERGLASS ENC W/ LATCH,,10x8x6 FIBERGLASS ENC W/,LATCH,am1086l 10x8x6 fiberglass enclosure w/ clamp latch 164808,164808,,b95d65c6-81a4-73a6-d314-d8e7d875181a,164808,am1086l 10x8x6 fiberglass enclosure w/ clamp latch,no,
38,AMB AM1206L,12x10x6 FIBERGLASS ENC W /LATCH,,12x10x6 FIBERGLASS ENC W,/LATCH,am1206l 12x10x6 fiberglass enclosure w/ clamp latch 123661,123661,,b95d65c6-81a4-73a6-d314-d8e7005e581a,123661,am1206l 12x10x6 fiberglass enclosure w/ clamp latch,no,
39,AMB AM1426L,14x12x6 FIBERGLASS ENC W /LATCH,,14x12x6 FIBERGLASS ENC W,/LATCH,am1426l 14x12x6 fiberglass enclosure w/ clamp latch 123659,123659,,b95d65c6-81a4-73a6-d314-d8e720bc981a,123659,am1426l 14x12x6 fiberglass enclosure w/ clamp latch,no,
40,AMB AM1PB,1HOLE N4X FIBERGLASS ENC LOSURE 30.5MM,,1HOLE N4X FIBERGLASS ENC,LOSURE 30.5MM,am1pb 1hole n4x fiberglass enclosure losure 30.5mm 130719,130719,,b95d65c6-81a4-73a6-d314-d8e76033cd1a,130719,am1pb 1hole n4x fiberglass enclosure losure 30.5mm,no,
41,AMB AM2068L,20x16x8 FIBERGLASS ENC W /LATCH,,20x16x8 FIBERGLASS ENC W,/LATCH,am2068l 20x16x8 fiberglass enclosure w/ clamp latch 123656,123656,,b95d65c6-81a4-73a6-d314-d8e7d09b171b,123656,am2068l 20x16x8 fiberglass enclosure w/ clamp latch,no,
42,AMB AM3PB,3HOLE N4X FIBERGLASS ENC LOSURE 30.5MM,,3HOLE N4X FIBERGLASS ENC,LOSURE 30.5MM,am3pb 3hole n4x fiberglass enclosure losure 30.5mm 130723,130723,,b95d65c6-81a4-73a6-d314-d8e77059461b,130723,am3pb 3hole n4x fiberglass enclosure losure 30.5mm,no,
43,AMB AM864L,8x6x4 FIBERGLASS ENC W/L ATCH,,8x6x4 FIBERGLASS ENC W/L,ATCH,am864l 8x6x4 fiberglass enclosure w/ clamp l atch 123666,123666,,b95d65c6-81a4-73a6-d314-d8e748f7751b,123666,am864l 8x6x4 fiberglass enclosure w/ clamp l atch,no,
44,AMB AMHMI108CCL,ENCLOSURE COVER CLEAR SS LATCH,,ENCLOSURE COVER CLEAR SS,LATCH,amhmi108ccl enclosure cover clear ss latch 281977,281977,,b95d65c6-81a4-73a6-d314-d8e7989cad1b,281977,amhmi108ccl enclosure cover clear ss latch,no,
45,AMB AMHMI120CCL,CLEAR SNAP LATCH COVER,,CLEAR SNAP LATCH COVER,,amhmi120ccl clear snap latch cover 380878,380878,,b95d65c6-81a4-73a6-d314-d8e728fbdc1b,380878,amhmi120ccl clear snap latch cover,no,
46,AMB AMHMI88CCH,CLEAR SNAP LATCH COVER,,CLEAR SNAP LATCH COVER,,amhmi88cch clear snap latch cover 373014,373014,,b95d65c6-81a4-73a6-d314-d8e7d01f151c,373014,amhmi88cch clear snap latch cover,no,
