extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
52,LEV 16D33-UE,400A 600V FEMALE PLUG BL ACK (16D33-E),,400A 600V FEMALE PLUG BL,ACK (16D33-E),16d33 ue 400a 600v female plug black e eb fem detach taper 2setscr 2 0 4 697313,697313,,b95d65c6-81a4-73a6-d314-f6e71842108e,697313,16d33 ue 400a 600v female plug black e eb fem detach taper 2setscr 2 0 4,no,
53,LEV 16R24-UG,400A 600V FEM PANEL RECP T GREEN (16R24-G),,400A 600V FEM PANEL RECP,T GREEN (16R24-G),"16r24 ug 400a 600v fem panel recp t green g pan pnl rec stud .75"" tap nose #2 4 0 697296",697296,,b95d65c6-81a4-73a6-d314-f6e780bf4d8e,697296,"16r24 ug 400a 600v fem panel recp t green g pan pnl rec stud .75"" tap nose #2 4 0",no,
54,LEV 16V22-G,300A 600V MALE PLUG GREE N,,300A 600V MALE PLUG GREE,N,16v22 g 300a 600v male plug gree n plu 697308,697308,,b95d65c6-81a4-73a6-d314-f6e7c8ca908e,697308,16v22 g 300a 600v male plug gree n plu,no,
55,LEV 1754-I,15A 1G DUPLEX-TWO ROCKER SWITCHES IV,,15A 1G DUPLEX-TWO ROCKER,SWITCHES IV,1754 i 15a 1g duplex two rocker switches iv r dec combo sp sw 311097,311097,,b95d65c6-81a4-73a6-d314-f6e7d8b9dc8e,311097,1754 i 15a 1g duplex two rocker switches iv r dec combo sp sw,no,
56,LEV 1754-W,15A 1G DUPLEX-TWO ROCKER SWITCHES WH,,15A 1G DUPLEX-TWO ROCKER,SWITCHES WH,1754 w 15a 1g duplex two rocker switches white r combo dec 2sw sp 15a120vac 307091,307091,,b95d65c6-81a4-73a6-d314-f6e798a7108f,307091,1754 w 15a 1g duplex two rocker switches white r combo dec 2sw sp 15a120vac,no,
57,LEV 1755-I,15A 1G TRIPLEX-THREE ROC KER SW IV,,15A 1G TRIPLEX-THREE ROC,KER SW IV,1755 i 15a 1g triplex three roc ker sw iv thre 3 rocker 452807,452807,,b95d65c6-81a4-73a6-d314-f6e7a8d74d8f,452807,1755 i 15a 1g triplex three roc ker sw iv thre 3 rocker,no,
58,LEV 1755-T,15A 1G TRIPLEX-THREE ROC KER SW LA,,15A 1G TRIPLEX-THREE ROC,KER SW LA,1755 t 15a 1g triplex three roc ker sw la thre combo dec 3sw sp 15a120vac 376011,376011,,b95d65c6-81a4-73a6-d314-f6e758ed918f,376011,1755 t 15a 1g triplex three roc ker sw la thre combo dec 3sw sp 15a120vac,no,
59,LEV 1755-W,15A 1G TRIPLEX-THREE ROC KER SW WH,,15A 1G TRIPLEX-THREE ROC,KER SW WH,1755 w 15a 1g triplex three roc ker sw white thre comb dec 3sw sp 15a120v rework 452811,452811,,b95d65c6-81a4-73a6-d314-f6e72895d38f,452811,1755 w 15a 1g triplex three roc ker sw white thre comb dec 3sw sp 15a120v rework,no,
60,LEV 17R22-E,690A 600V FEM PANEL RECP T BLACK,,690A 600V FEM PANEL RECP,T BLACK,17r22 e 690a 600v fem panel recp t black pane 697309,697309,,b95d65c6-81a4-73a6-d314-f6e738670f90,697309,17r22 e 690a 600v fem panel recp t black pane,no,
61,LEV 19062,MED BASE PORC SOCKET,,MED BASE PORC SOCKET,,"19062 med base porc socket white lmphldr cleat type sgl crct, 660w 250v 265098",265098,,b95d65c6-81a4-73a6-d314-f6e790004690,265098,"19062 med base porc socket white lmphldr cleat type sgl crct, 660w 250v",no,
62,LEV 19980-M,PULL CHAIN INTERIOR SOCK ET 660W,,PULL CHAIN INTERIOR SOCK,ET 660W,"19980 m pull chain interior sock et 660w interio eb lamph pc medbase 6"" ni 660w250v 252188",252188,,b95d65c6-81a4-73a6-d314-f6e7707b7c90,252188,"19980 m pull chain interior sock et 660w interio eb lamph pc medbase 6"" ni 660w250v",no,
63,LEV 19980-PG,BRASS PULL CHAIN SOCKET 660W 250V,,BRASS PULL CHAIN SOCKET,660W 250V,"19980 pg brass pull chain socket 660w 250v lamph pc medbase 6"" stainless steel 660w250v 252177",252177,,b95d65c6-81a4-73a6-d314-f6e7d0fdb790,252177,"19980 pg brass pull chain socket 660w 250v lamph pc medbase 6"" stainless steel 660w250v",no,
64,LEV 1K240-01W,100A 120/208/240V 1P3W W /CT,,100A 120/208/240V 1P3W W,/CT,1k240 01w 100a 120 208 240v 1p3w w ct 910842,910842,,b95d65c6-81a4-73a6-d314-f6e7f837d3ea,910842,1k240 01w 100a 120 208 240v 1p3w w ct,no,
65,LEV 1K240-02W,200A 120/208/240V 1P3W W /CT,,200A 120/208/240V 1P3W W,/CT,1k240 02w 200a 120 208 240v 1p3w w ct 910844,910844,,b95d65c6-81a4-73a6-d314-f6e718e113eb,910844,1k240 02w 200a 120 208 240v 1p3w w ct,no,
66,LEV 1O120-01W,100A 120V 1PH2W W/CT N3R RATED,,100A 120V 1PH2W W/CT N3R,RATED,1o120 01w 100a 120v 1ph2w w ct n3r rated 910826,910826,,b95d65c6-81a4-73a6-d314-f6e7b0bf4ceb,910826,1o120 01w 100a 120v 1ph2w w ct n3r rated,no,
67,LEV 1O240-01W,100A 120/208/240 1P3W W/ CT N3R,,100A 120/208/240 1P3W W/,CT N3R,1o240 01w 100a 120 208 240 1p3w w ct n3r 911359,911359,,b95d65c6-81a4-73a6-d314-f6e7f87f8feb,911359,1o240 01w 100a 120 208 240 1p3w w ct n3r,no,
68,LEV 1O240-1W,100A 120/208/240V 1P3W W /CT N3R,,100A 120/208/240V 1P3W W,/CT N3R,1o240 1w 100a 120 208 240v 1p3w w ct n3r 915134,915134,,b95d65c6-81a4-73a6-d314-f6e7f0dcdaeb,915134,1o240 1w 100a 120 208 240v 1p3w w ct n3r,no,
69,LEV 2005,MED PORCELAIN SOCKET EXT ENSION 660W,,MED PORCELAIN SOCKET EXT,ENSION 660W,2005 med porcelain socket extension ension 660w lamph porc w brass 758119,758119,,b95d65c6-81a4-73a6-d314-f6e7a03f0a91,758119,2005 med porcelain socket extension ension 660w lamph porc w brass,no,
70,LEV 2006,MED PHENOLIC SOCKET EXTE NSION 660W,,MED PHENOLIC SOCKET EXTE,NSION 660W,2006 med phenolic socket exte nsion 660w e eb phen lamph extension base 660w250v 252174,252174,,b95d65c6-81a4-73a6-d314-f6e708974591,252174,2006 med phenolic socket exte nsion 660w e eb phen lamph extension base 660w250v,no,
71,LEV 20070-100,600W 250V PORC LAMPHOLDE R,,600W 250V PORC LAMPHOLDE,R,20070 100 600w 250v porc lampholde r 899779,899779,,b95d65c6-81a4-73a6-d314-f6e7e8637f91,899779,20070 100 600w 250v porc lampholde r,no,
72,LEV 23452-H,HORIZ LAMP SUPPORT,,HORIZ LAMP SUPPORT,,23452 h horiz lamp support sup clip for 2g11 102755,102755,,b95d65c6-81a4-73a6-d314-f6e79010b291,102755,23452 h horiz lamp support sup clip for 2g11,no,
73,LEV 23452-V,VERTICAL LAMP HOLDER,,VERTICAL LAMP HOLDER,,23452 v vertical lamp holder hold vert sup clip for 2g11 983141,983141,,b95d65c6-81a4-73a6-d314-f6e7f0191692,983141,23452 v vertical lamp holder hold vert sup clip for 2g11,no,
74,LEV 24W47,2P3W 15A 125V PLUG WATER -TIGHT YELLOW,,2P3W 15A 125V PLUG WATER,#NAME?,24w47 2p3w 15a 125v plug water tight yellow #name? w wetguard lock 2po 3wi 15a125v 37479,37479,,b95d65c6-81a4-73a6-d314-f6e7a83a6a92,37479,24w47 2p3w 15a 125v plug water tight yellow #name? w wetguard lock 2po 3wi 15a125v,no,
