extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
118	ABB A3PBF1-600R-91	PB,2POS,MOMTRY,RED,1NO+1 NC		PB,2POS,MOMTRY,RED,1NO+1	NC		914128		911a2a90-25b0-cf93-e814-40a590459b57
119	ABB A3PP42-600R-11	44MM RED 1NO/1NC MAIN		44MM RED 1NO/1NC MAIN			668329		911a2a90-25b0-cf93-e814-40a58819b657
120	ABB A3XC10	CONTACT BLOCK,1NO		CONTACT BLOCK,1NO			525920		911a2a90-25b0-cf93-e814-40a560b8d057
121	ABB A3XC91	CONTACT BLOCK 1NO+1NC		CONTACT BLOCK 1NO+1NC			710749		911a2a90-25b0-cf93-e814-40a530baea57
122	ABB A40-30-10-34	3P 42A 208V CONTACTOR		3P 42A 208V CONTACTOR			22917		911a2a90-25b0-cf93-e814-40a5908b0458
123	ABB A45-40-00-80	60A 240V COIL		60A 240V COIL			619320		911a2a90-25b0-cf93-e814-40a5c0c81e58
124	ABB A50N2SR-84E	REVERSE CONTACTOR		REVERSE CONTACTOR			636888		911a2a90-25b0-cf93-e814-40a518f73858
125	ABB A75N3SR-84F	.		.			636893		911a2a90-25b0-cf93-e814-40a5b8835258
126	ABB A9-30-10-34	3P 9A 208V CONTACTOR		3P 9A 208V CONTACTOR			22804		911a2a90-25b0-cf93-e814-40a590dd6b58
127	ABB A9-30-10-42	3P 9A 277V CONTACTOR		3P 9A 277V CONTACTOR			22810		911a2a90-25b0-cf93-e814-40a5a8ba8558
128	ABB A9N00-30-10-84	3P NEMA00 120V COIL		3P NEMA00 120V COIL			876868		911a2a90-25b0-cf93-e814-40a548d8a458
129	ABB AB76B	BOX		BOX			950962		911a2a90-25b0-cf93-e814-48a5e08a665d
130	ABB ACCU/AC,BC,FC,VTAC	THN3321 DISC		THN3321 DISC			1100543		911a2a90-25b0-cf93-e814-5ea5c82ad3de
131	ABB ADS36030HS	.		.			754097		911a2a90-25b0-cf93-e814-40a548e5bf58
132	ABB AE16-30-11-87	AE16 3P CONTR,125VDC		AE16 3P CONTR,125VDC			108461		911a2a90-25b0-cf93-e814-40a5f059da58
133	ABB AE16-30-11-88	3P 220VDC CONTACTOR		3P 220VDC CONTACTOR			553695		911a2a90-25b0-cf93-e814-40a5c8f8f458
134	ABB AE50-30-11-87	CONTACTOR		CONTACTOR			43018		911a2a90-25b0-cf93-e814-40a570220f59
135	ABB AF09-22-00-12	4P CONTR 48-130VAC/DC		4P CONTR 48-130VAC/DC			550058		911a2a90-25b0-cf93-e814-40a5d85e2959
136	ABB AF09-22-00-13	2NO-2NC RELAY		2NO-2NC RELAY			841164		911a2a90-25b0-cf93-e814-40a5a82e4359
137	ABB AF09-30-10-11	9A 3P CONT 1NO AUX 24VAC /DC		9A 3P CONT 1NO AUX 24VAC	/DC		442545		911a2a90-25b0-cf93-e814-40a5f0b25d59
138	ABB AF09-30-10-13	9A 3P CONT 1NO AUX 100-2 50V (1SBL137001R1310)		9A 3P CONT 1NO AUX 100-2	50V (1SBL137001R1310)		442604		911a2a90-25b0-cf93-e814-40a590207859
139	ABB AF09-30-10-14	9A 3P CONT 1NO AUX 250-5 00V		9A 3P CONT 1NO AUX 250-5	00V		442608		911a2a90-25b0-cf93-e814-40a5b09a9259
140	ABB AF09ZB22-00RT-21	20-60V CONTACTOR		20-60V CONTACTOR			294		911a2a90-25b0-cf93-e814-40a5b8f2ce9e
141	ABB AF09ZB22-00RT-22	CONTACTOR 48-130V50/60HZ D		CONTACTOR 48-130V50/60HZ	D		879638		911a2a90-25b0-cf93-e814-40a5e0fce79e
142	ABB AF09ZB22-00RT-23	100-250V50/60HZ-D		100-250V50/60HZ-D			856681		911a2a90-25b0-cf93-e814-40a55014019f
143	ABB AF09ZB30-10RT-21	24-60V CONTACTOR		24-60V CONTACTOR			291		911a2a90-25b0-cf93-e814-40a588fa199f
144	ABB AF09ZB30-10RT-22	CONTACTOR 3POLE 25A CO		CONTACTOR 3POLE 25A CO			879645		911a2a90-25b0-cf93-e814-40a548c2329f
145	ABB AF09ZB30-10RT-23	100-250V50/60HZ-D		100-250V50/60HZ-D			879639		911a2a90-25b0-cf93-e814-40a520b84b9f
